OBJECTID,PlantNum,StemNum,Species,SpeciesType,SpType2,HeightClass,BDClass,PlotIdentity,PlotNum,PlotSp.Rich,UnderstorySp.Rich,OverstorySp.Rich,L1,L1DamType,L2,L2DamType,L3,L3DamType,L4,L4DamType,L5,L5DamType,AvgDamage,AvgDamageType,Xcoord,Ycoord,PlotSpRich
676,1311,1,vacco,3,3,1,1,8,3,2,2,0,1,2,5,2,1,2,5,2,0,0,2.4,1.6,471709.6649,93494.0316,
495,1420,1,linbe,3,3,1,1,8,3,2,2,0,60,2,30,2,0,0,0,0,20,2,22,1.2,471709.9842,93498.3341,
511,1429,1,linbe,3,3,1,1,8,3,2,2,0,1,2,1,2,1,1,0,0,0,0,0.6,1,471700.7524,93500.7989,
491,1416,2,linbe,3,3,1,1,8,3,2,2,0,1,1,1,1,1,1,1,1,0,0,0.8,0.8,471721.8825,93479.8871,
520,1434,1,linbe,3,3,1,1,8,3,2,2,0,1,0,0,0,5,2,0,0,0,0,1.2,0.4,471701.0128,93499.4214,
490,1416,1,linbe,3,3,1,1,8,3,2,2,0,0,0,0,0,0,0,1,1,0,0,0.2,0.2,471706.5854,93493.8515,
513,1430,1,linbe,3,3,1,1,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471699.4876,93495.096,
681,1316,1,vacco,3,3,1,1,8,3,2,2,0,0,0,10,2,5,2,0,0,1,2,3.2,1.2,471708.6663,93498.3995,
519,1433,2,linbe,3,3,1,1,8,3,2,2,0,1,2,0,0,0,0,5,2,0,0,1.2,0.8,471702.4792,93496.1805,
518,1433,1,linbe,3,3,1,1,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471699.8409,93499.282,
426,1730,1,linbe,3,3,1,1,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471691.3592,93499.37,
530,1443,2,linbe,3,3,1,1,8,3,2,2,0,0,0,0,0,1,2,0,0,0,0,0.2,0.4,471697.5145,93497.675,
417,1722,1,linbe,3,3,1,1,8,3,2,2,0,100,0,60,2,0,0,0,0,0,0,32,0.4,471695.1135,93499.4027,
506,1425,1,linbe,3,3,1,1,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471703.222,93495.3203,
17,2114,1,linbe,3,3,1,1,8,3,2,2,0,5,2,5,2,10,2,10,2,0,0,6,1.6,471693.6273,93511.5522,
531,1444,1,linbe,3,3,1,1,8,3,2,2,0,0,0,50,1,0,0,0,0,0,0,10,0.2,471699.1893,93495.5063,
684,1318,1,vacco,3,3,1,1,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471709.5066,93498.0257,
500,1422,3,linbe,3,3,1,1,8,3,2,2,0,80,2,80,2,0,0,0,0,0,0,32,0.8,471710.983,93493.3231,
522,1436,1,linbe,3,3,1,1,8,3,2,2,0,40,2,1,2,0,0,0,0,0,0,8.2,0.8,471700.8752,93502.2081,
527,1440,1,linbe,3,3,1,1,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471695.398,93498.2801,
504,1423,4,linbe,3,3,1,1,8,3,2,2,0,0,0,0,0,1,2,0,0,0,0,0.2,0.4,471684.8305,93496.6485,
493,1418,1,linbe,3,3,1,2,8,3,2,2,0,5,2,1,2,0,0,0,0,1,2,1.4,1.2,471712.9706,93496.7307,
498,1422,2,linbe,3,3,1,2,8,3,2,2,0,1,1,5,1,1,1,30,1,0,0,7.4,0.8,471710.9553,93500.9665,
29,2120,1,linbe,3,3,2,1,8,3,2,2,0,1,2,0,0,0,0,0,0,0,0,0.2,0.4,471692.99,93504.8598,
15,2113,1,linbe,3,3,2,1,8,3,2,2,0,5,2,1,2,0,0,1,2,1,2,1.6,1.6,471691.3898,93505.5307,
533,1444,3,linbe,3,3,2,1,8,3,2,2,0,0,0,2,2,0,0,0,0,1,2,0.6,0.8,471695.5419,93504.1685,
526,1439,1,linbe,3,3,2,1,8,3,2,2,0,1,2,1,1,0,0,0,0,0,0,0.4,0.6,471697.4253,93497.7784,
503,1423,3,linbe,3,3,2,1,8,3,2,2,0,5,2,0,0,0,0,30,2,0,0,7,0.8,471700.5428,93500.6966,
414,1720,1,linbe,3,3,2,1,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471691.9676,93499.836,
659,2115,2,linbe,3,3,2,2,8,3,2,2,0,1,2,0,0,0,0,0,0,0,0,0.2,0.4,471685.9586,93503.7189,
514,1430,1,linbe,3,3,2,2,8,3,2,2,0,0,0,0,0,0,0,5,2,0,0,1,0.4,471697.8016,93501.2056,
679,1314,1,vacco,3,3,2,2,8,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0.2,0.2,471713.6499,93495.9774,
30,2120,2,linbe,3,3,2,2,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471699.5104,93503.8227,
516,1432,1,linbe,3,3,2,2,8,3,2,2,0,15,1,75,2,5,2,0,0,0,0,19,1,471698.666,93499.0882,
497,1422,1,linbe,3,3,2,2,8,3,2,2,0,1,2,0,0,0,0,0,0,0,0,0.2,0.4,471702.6204,93494.1549,
501,1423,1,linbe,3,3,2,2,8,3,2,2,0,40,1,10,2,0,0,30,1,0,0,16,0.8,471702.8495,93503.3413,
510,1429,1,linbe,3,3,2,2,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471699.7203,93496.8067,
523,1437,1,linbe,3,3,2,2,8,3,2,2,0,1,2,1,2,5,2,0,0,1,2,1.6,1.6,471696.2845,93498.6741,
46,2134,2,linbe,3,3,2,2,8,3,2,2,0,0,0,0,0,1,2,0,0,1,2,0.4,0.8,471696.3845,93501.9478,
496,1421,1,linbe,3,3,2,3,8,3,2,2,0,5,1,0,0,1,2,0,0,1,1,1.4,0.8,471707.2055,93498.7348,
424,1729,1,linbe,3,3,3,1,8,3,2,2,0,20,2,0,0,0,0,0,0,0,0,4,0.4,471690.4104,93500.834,
420,1724,1,linbe,3,3,3,2,8,3,2,2,0,5,2,1,2,10,1,0,0,0,0,3.2,1,471686.5321,93499.7049,
663,2118,2,linbe,3,3,3,2,8,3,2,2,0,1,0,0,0,1,2,1,2,0,0,0.6,0.8,471688.4057,93506.3609,
47,2134,3,linbe,3,3,3,3,8,3,2,2,0,1,2,0,0,1,2,5,2,0,0,1.4,1.2,471689.6132,93511.0024,
680,1315,1,vacco,3,3,3,3,8,3,2,2,0,40,1,60,1,1,2,30,1,0,0,26.2,1,471709.0297,93499.1036,
521,1435,1,linbe,3,3,3,3,8,3,2,2,0,5,2,1,2,0,0,0,0,0,0,1.2,0.8,471695.6918,93498.7667,
425,1729,2,linbe,3,3,3,3,8,3,2,2,0,10,2,1,2,5,2,0,0,0,0,3.2,1.2,471694.0556,93499.8954,
534,1445,1,linbe,3,3,3,3,8,3,2,2,0,0,0,0,0,1,2,0,0,0,0,0.2,0.4,471699.5619,93509.0217,
675,1310,1,vacco,3,3,3,3,8,3,2,2,0,50,2,0,0,2.5,1,1,1,1,1,10.9,1,471705.2239,93493.7155,
662,2118,1,linbe,3,3,3,3,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471692.3471,93510.0803,
418,1722,2,linbe,3,3,3,3,8,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0.2,0.2,471693.4093,93504.5362,
677,1312,1,vacco,3,3,3,3,8,3,2,2,0,0,0,0,0,1,2,0,0,1,2,0.4,0.8,471710.2973,93494.9732,
763,528,1,vacco,3,3,3,3,8,3,2,2,0,0,0,5,2,0,0,1,2,15,2,4.2,1.2,471702.6988,93494.6324,
751,519,1,vacco,3,3,3,3,8,3,2,2,0,1,2,1,2,0,0,1,1,5,1,1.6,1.2,471700.9985,93494.1835,
678,1313,1,vacco,3,3,3,3,8,3,2,2,0,0,0,0,0,1,2,0,0,1,2,0.4,0.8,471706.9657,93502.8143,
45,2134,1,linbe,3,3,3,3,8,3,2,2,0,1,1,0,0,1,1,0,0,1,1,0.6,0.6,471694.8765,93506.8173,
535,1445,2,linbe,3,3,3,3,8,3,2,2,0,50,2,0,0,0,0,10,2,30,2,18,1.2,471701.1996,93500.5834,
509,1428,1,linbe,3,3,3,3,8,3,2,2,0,1,0,25,1,0,0,1,1,0,0,5.4,0.4,471699.0241,93498.4989,
749,518,1,vacco,3,3,3,3,8,3,2,2,0,5,1,1,2,0,0,1,2,0,0,1.4,1,471707.1047,93494.9022,
502,1423,2,linbe,3,3,4,4,8,3,2,2,0,1,2,5,2,0,0,1,2,10,2,3.4,1.6,471701.1286,93499.1384,
652,2110,1,linbe,3,3,4,4,8,3,2,2,0,0,0,0,0,1,2,0,0,0,0,0.2,0.4,471692.2065,93501.2356,
658,2116,1,linbe,3,3,4,4,8,3,2,2,0,5,2,1,2,1,2,0,0,0,0,1.4,1.2,471690.2253,93508.2914,
499,1422,3,linbe,3,3,4,4,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,471701.9015,93502.1239,
488,1415,4,linbe,3,3,4,4,8,3,2,2,0,0,0,0,0,0,0,1,2,0,0,0.2,0.4,471711.2566,93496.3605,
577,2813,4,linbe,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471344.0834,93117.7042,
569,2811,3,linbe,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471342.7795,93113.8267,
574,2812,3,linbe,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471340.9011,93111.6683,
51,2138,1,linbe,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471337.7752,93117.3865,
191,79,1,toxra,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471339.0941,93117.0789,
58,81,2,hamvi,3,3,1,1,9,4,8,5,3,1,2,1,1,0,0,0,0,0,0,0.4,0.6,471343.713,93107.403,
583,2815,3,linbe,3,3,1,1,9,4,8,5,3,20,2,0,0,10,2,0,0,5,2,7,1.2,471342.1439,93111.0709,
123,856,1,hamvi,3,3,1,1,9,4,8,5,3,20,2,0,0,0,0,0,0,0,0,4,0.4,471342.6786,93110.2673,
581,2815,1,linbe,3,3,1,1,9,4,8,5,3,20,2,60,2,5,2,1,2,5,2,18.2,2,471343.5353,93111.1025,
20,2117,1,hamvi,3,3,1,1,9,4,8,5,3,1,1,1,1,0,0,0,0,0,0,0.4,0.4,471348.6887,93120.2416,
159,2921,1,hamvi,3,3,1,1,9,4,8,5,3,60,1,45,1,50,1,10,1,0,0,33,0.8,471333.6904,93120.9758,
261,957,1,fraam,1,1,1,1,9,4,8,5,3,0,0,0,0,0,0,1,1,0,0,0.2,0.2,471342.6026,93110.5219,
789,201,3,hamvi,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471340.3617,93108.7666,
234,931,1,fraam,1,1,1,1,9,4,8,5,3,0,0,1,2,1,2,0,0,0,0,0.4,0.8,471341.228,93109.2594,
750,519,1,toxra,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471339.7135,93114.1192,
568,2811,2,linbe,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471341.6656,93110.9056,
579,2813,2,linbe,3,3,1,1,9,4,8,5,3,10,2,5,2,0,0,0,0,0,0,3,0.8,471345.6542,93115.8418,
186,74,1,toxra,3,3,1,1,9,4,8,5,3,5,2,1,2,1,2,0,0,0,0,1.4,1.2,471342.0793,93112.861,
315,111,3,hamvi,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471342.4591,93109.9601,
809,2018,1,vacco,3,3,1,1,9,4,8,5,3,5,2,0,0,0,0,0,0,0,0,1,0.4,471342.5248,93115.3956,
21,2117,2,hamvi,3,3,1,1,9,4,8,5,3,1,2,1,2,0,0,1,1,1,1,0.8,1.2,471331.4166,93111.2382,
806,2015,1,vacco,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471344.1892,93113.7087,
608,195,1,hamvi,3,3,1,1,9,4,8,5,3,5,1,5,1,1,2,1,1,1,1,2.6,1.2,471341.8444,93108.8108,
637,1933,1,hamvi,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471346.3115,93112.7313,
325,119,1,fraam,1,1,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471347.8595,93101.4327,
71,812,1,hamvi,3,3,1,1,9,4,8,5,3,1,1,1,1,0,0,0,0,0,0,0.4,0.4,471340.3729,93110.2147,
232,929,1,fraam,1,1,1,1,9,4,8,5,3,5,2,1,2,10,2,5,1,0,0,4.2,1.4,471343.2735,93110.9781,
788,201,2,hamvi,3,3,1,1,9,4,8,5,3,1,1,1,1,1,2,0,0,5,1,1.6,1,471340.2041,93109.5802,
231,928,1,fraam,1,1,1,1,9,4,8,5,3,1,1,0,0,0,0,0,0,0,0,0.2,0.2,471346.4377,93106.834,
89,827,1,hamvi,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471338.7336,93110.7821,
235,932,1,fraam,1,1,1,1,9,4,8,5,3,0,0,1,1,0,0,1,1,0,0,0.4,0.4,471342.5134,93108.6266,
205,95,1,fraam,1,1,1,1,9,4,8,5,3,1,1,0,0,0,0,0,0,0,0,0.2,0.2,471339.9361,93112.4872,
587,2816,4,linbe,3,3,1,1,9,4,8,5,3,1,1,5,2,1,1,0,0,0,0,1.4,0.8,471345.0264,93113.353,
126,860,1,hamvi,3,3,1,1,9,4,8,5,3,1,1,0,0,1,1,1,1,0,0,0.6,0.6,471343.479,93111.8448,
313,111,1,hamvi,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471336.7864,93113.0847,
258,954,1,fraam,1,1,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471346.8423,93102.6974,
